Animal Id,Animal Type,Source Id,Council District,Intake Type,Intake Total,Staff Id,Intake Date,Intake Condition,Outcome Type,Outcome Date,Outcome Condition,Chip Status,Animal Origin,Month,Year
A1093136,CAT,P0915082,1,STRAY,1,CBU,01/12/2020,APP SICK,FOSTER,01/12/2020,APP SICK,SCAN NO CHIP,OVER THE COUNTER,JAN.2020,FY2020
A1046046,DOG,P0740141,9,STRAY,1,AR1758,11/28/2019,APP WNL,ADOPTION,12/19/2019,APP WNL,SCAN CHIP,FIELD,NOV.2019,FY2020
A1098758,BIRD,P0922414,9,WILDLIFE,1,AJR1758,03/17/2020,APP INJ,WILDLIFE,03/17/2020,APP INJ,WILDLIFE - UNABLE TO SCAN,FIELD,MAR.2020,FY2020
A1061310,DOG,P9991730,1,STRAY,1,EPOOLE,12/18/2019,APP WNL,RETURNED TO OWNER,12/18/2019,APP WNL,SCAN CHIP,FIELD,DEC.2019,FY2020
A1091970,CAT,P0913319,8,OWNER SURRENDER,1,JZ,12/28/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091007,DOG,P0911723,14,STRAY,1,CBU,12/15/2019,APP SICK,RETURNED TO OWNER,12/19/2019,APP WNL,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1092433,DOG,P0892358,7,FOSTER,1,JR,01/12/2020,APP WNL,TRANSFER,01/12/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,JAN.2020,FY2020
A1095357,DOG,P0917913,10,OWNER SURRENDER,1,AJR1758,02/06/2020,APP WNL,TRANSFER,02/07/2020,UNDERAGE,SCAN NO CHIP,FIELD,FEB.2020,FY2020
A1086114,DOG,P0908086,13,OWNER SURRENDER,1,DL,11/16/2019,APP WNL,ADOPTION,12/18/2019,APP WNL,SCAN CHIP,OVER THE COUNTER,NOV.2019,FY2020
A1091505,DOG,P0912546,4,STRAY,1,BW,12/22/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091328,DOG,P9991772,7,STRAY,1,RO1772,12/20/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,SWEEP,DEC.2019,FY2020
A1091134,DOG,P9991758,4,STRAY,1,AR1758,12/17/2019,APP WNL,RETURNED TO OWNER,12/19/2019,APP WNL,SCAN NO CHIP,FIELD,DEC.2019,FY2020
A1079979,DOG,P0898127,,OWNER SURRENDER,1,IFM,09/25/2020,APP WNL,EUTHANIZED,09/29/2020,APP WNL,SCAN CHIP,OVER THE COUNTER,SEP.2020,FY2020
A1073188,DOG,P9991772,7,STRAY,1,RO1772,12/20/2019,APP WNL,RETURNED TO OWNER,12/20/2019,APP WNL,SCAN CHIP,SWEEP,DEC.2019,FY2020
A1095260,DOG,P9991772,4,STRAY,1,ROB1772,02/05/2020,APP WNL,RETURNED TO OWNER,02/07/2020,APP WNL,SCAN NO CHIP,SWEEP,FEB.2020,FY2020
A1090539,CAT,P0871433,6,FOSTER,1,DL,12/18/2019,UNDERAGE,FOSTER,12/18/2019,UNKNOWN,SCAN CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1090998,CAT,P0743076,4,OWNER SURRENDER,1,BW,12/15/2019,APP WNL,ADOPTION,12/17/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1088787,DOG,P0908401,,STRAY,1,WEB,11/18/2019,NORMAL,FOUND EXP,12/19/2019,,,,NOV.2019,FY2020
A1092019,DOG,P0913409,3,OWNER SURRENDER,1,CDM,12/29/2019,APP WNL,ADOPTION,12/30/2019,APP WNL,SCAN NO CHIP,OVER THE COUNTER,DEC.2019,FY2020
A1091109,DOG,P9991579,1,STRAY,1,AS1579,12/17/2019,UNKNOWN,RETURNED TO OWNER,12/19/2019,APP WNL,SCAN CHIP,SWEEP,DEC.2019,FY2020
A1106548,DOG,P0936063,,STRAY,1,WEB,08/26/2020,NORMAL,LOST EXP,09/29/2020,,,,AUG.2020,FY2020
A1091201,WILDLIFE,P9991736,11,WILDLIFE,1,TM1736,12/18/2019,APP SICK,EUTHANIZED,12/18/2019,APP SICK,SCAN NO CHIP,FIELD,DEC.2019,FY2020
